"BBL_SPECIES_ID","BBL_SPECIES_NAME","BBL_SCI_NAME","EBIRD_SPECIES_CODE","EBIRD_PRIMARY_COM_NAME","EBIRD_SCI_NAME","EBIRD_CATEGORY","EBIRDST_CODE"
4610,"Eastern Wood-Pewee","Contopus virens","eawpew","Eastern Wood-Pewee","Contopus virens","species","eawpew"
4621,"Cuban Pewee","Contopus caribaeus","cubpew1","Cuban Pewee","Contopus caribaeus","species","cubpew1"
4623,"Jamaican Pewee","Contopus pallidus","jampew1","Jamaican Pewee","Contopus pallidus","species",NA
4624,"Hispaniolan Pewee","Contopus hispaniolensis","hispew1","Hispaniolan Pewee","Contopus hispaniolensis","species",NA
4622,"Lesser Antillean Pewee","Contopus latirostris","leapew1","Lesser Antillean Pewee","Contopus latirostris","species",NA
4630,"Yellow-bellied Flycatcher","Empidonax flaviventris","yebfly","Yellow-bellied Flycatcher","Empidonax flaviventris","species","yebfly"
4650,"Acadian Flycatcher","Empidonax virescens","acafly","Acadian Flycatcher","Empidonax virescens","species","acafly"
4661,"Alder Flycatcher","Empidonax alnorum","aldfly","Alder Flycatcher","Empidonax alnorum","species","aldfly"
4669,"Traill's Flycatcher","Empidonax alnorum/ E. traillii","y00324","Alder/Willow Flycatcher (Traill's Flycatcher)","Empidonax alnorum/traillii","slash",NA
4660,"Willow Flycatcher","Empidonax traillii","wilfly","Willow Flycatcher","Empidonax traillii","species","wilfly"
4664,"Southwestern Willow Flycatcher","Empidonax traillii extimus","wilfly","Willow Flycatcher","Empidonax traillii","species","wilfly"
4670,"Least Flycatcher","Empidonax minimus","leafly","Least Flycatcher","Empidonax minimus","species","leafly"
4680,"Hammond's Flycatcher","Empidonax hammondii","hamfly","Hammond's Flycatcher","Empidonax hammondii","species","hamfly"
4691,"Gray Flycatcher","Empidonax wrightii","gryfly","Gray Flycatcher","Empidonax wrightii","species","gryfly"
4690,"Dusky Flycatcher","Empidonax oberholseri","dusfly","Dusky Flycatcher","Empidonax oberholseri","species","dusfly"
